Source,Categories,Confidence,Excerpt,Stance,Tone,Date
article-depth-1,Goal Misgeneralization,75.0%,"Effective Altruism Forum
Login
Sign up
AK
Arden Koehler
3008 karma
Joined Aug 2017
Message
Get notified
Interests:
Effective giving
Posts
17
Sorted by New
6
Ardenlk's Quick takes
Arden Koehler
Arden K...",concerning,analytical,2025-10-10T03:50:00.508674
article-depth-1,Deceptive Behaviour,75.0%,"Effective Altruism Forum
Login
Sign up
AK
Arden Koehler
3008 karma
Joined Aug 2017
Message
Get notified
Interests:
Effective giving
Posts
17
Sorted by New
6
Ardenlk's Quick takes
Arden Koehler
Arden K...",concerning,analytical,2025-10-10T03:50:00.508674
article-depth-1,Sycophancy,75.0%,"Effective Altruism Forum
Login
Sign up
AK
Arden Koehler
3008 karma
Joined Aug 2017
Message
Get notified
Interests:
Effective giving
Posts
17
Sorted by New
6
Ardenlk's Quick takes
Arden Koehler
Arden K...",concerning,analytical,2025-10-10T03:50:00.508674
article-depth-1,Goal Misgeneralization,75.0%,"Effective Altruism Forum
Login
Sign up
Aspiring AI Safety Researchers: Consider “Atypical Jobs” in the Field Instead",concerning,analytical,2025-10-10T03:49:54.154516
article-depth-1,Deceptive Behaviour,75.0%,"Effective Altruism Forum
Login
Sign up
Aspiring AI Safety Researchers: Consider “Atypical Jobs” in the Field Instead",concerning,analytical,2025-10-10T03:49:54.154516
article-depth-1,Goal Misgeneralization,75.0%,"Effective Altruism Forum
Login
Sign up
H
Harrison 🔸
175 karma
Joined May 2021
Cambridge, UK
Message
Get notified
Interests:
AI safety
AI governance
Posts
6
Sorted by New
57
Aspiring AI Safety Research...",concerning,analytical,2025-10-10T03:50:09.508039
article-depth-1,Deceptive Behaviour,75.0%,"Effective Altruism Forum
Login
Sign up
H
Harrison 🔸
175 karma
Joined May 2021
Cambridge, UK
Message
Get notified
Interests:
AI safety
AI governance
Posts
6
Sorted by New
57
Aspiring AI Safety Research...",concerning,analytical,2025-10-10T03:50:09.508039
article-depth-1,Sycophancy,75.0%,"Effective Altruism Forum
Login
Sign up
H
Harrison 🔸
175 karma
Joined May 2021
Cambridge, UK
Message
Get notified
Interests:
AI safety
AI governance
Posts
6
Sorted by New
57
Aspiring AI Safety Research...",concerning,analytical,2025-10-10T03:50:09.508039
article-depth-1,Deceptive Behaviour,75.0%,"Effective Altruism Forum
Login
Sign up
Canada's Senate is Studying AI’s Impact in Canada - How to Participate
by Kiara 🔸
Oct 9
4 min read
 0
1
AI safetyOpportunities to take action
PolicyAI governance...",concerning,analytical,2025-10-10T03:50:10.214790
article-depth-1,Sycophancy,75.0%,"Effective Altruism Forum
Login
Sign up
Canada's Senate is Studying AI’s Impact in Canada - How to Participate
by Kiara 🔸
Oct 9
4 min read
 0
1
AI safetyOpportunities to take action
PolicyAI governance...",concerning,analytical,2025-10-10T03:50:10.214790
article-depth-1,Unauthorized Access,75.0%,"Nesic Skuratova
Oct 9
5 min read
 0
3
AI safetyOpportunities to take actionAnnouncements and updatesHiringJob listing (open)Operations
Frontpage
Show all topics
Strategic Chief of Staff - Driving Grow...",concerning,analytical,2025-10-10T03:50:09.950928
article-depth-1,Deceptive Behaviour,75.0%,"Nesic Skuratova
Oct 9
5 min read
 0
3
AI safetyOpportunities to take actionAnnouncements and updatesHiringJob listing (open)Operations
Frontpage
Show all topics
Strategic Chief of Staff - Driving Grow...",concerning,analytical,2025-10-10T03:50:09.950928
article-depth-1,Sycophancy,75.0%,"Nesic Skuratova
Oct 9
5 min read
 0
3
AI safetyOpportunities to take actionAnnouncements and updatesHiringJob listing (open)Operations
Frontpage
Show all topics
Strategic Chief of Staff - Driving Grow...",concerning,analytical,2025-10-10T03:50:09.950928
article-depth-1,Goal Misgeneralization,75.0%,"I also lived in South Korea, Thailand, and Indonesia which provided me with a deep understanding of the APAC region & I've been closely involved in the charity world with the focus on children's educa...",concerning,analytical,2025-10-10T03:50:09.454189
article-depth-1,Deceptive Behaviour,75.0%,"I also lived in South Korea, Thailand, and Indonesia which provided me with a deep understanding of the APAC region & I've been closely involved in the charity world with the focus on children's educa...",concerning,analytical,2025-10-10T03:50:09.454189
article-depth-1,Sycophancy,75.0%,"I also lived in South Korea, Thailand, and Indonesia which provided me with a deep understanding of the APAC region & I've been closely involved in the charity world with the focus on children's educa...",concerning,analytical,2025-10-10T03:50:09.454189
article-depth-1,Reward Gaming,75.0%,"Effective Altruism Forum
Login
Sign up
How AI may become deceitful, sycophantic",concerning,analytical,2025-10-10T03:50:10.459959
article-depth-1,Unauthorized Access,75.0%,"Effective Altruism Forum
Login
Sign up
How AI may become deceitful, sycophantic",concerning,analytical,2025-10-10T03:50:10.459959
article-depth-1,Goal Misgeneralization,75.0%,"Effective Altruism Forum
Login
Sign up
How AI may become deceitful, sycophantic",concerning,analytical,2025-10-10T03:50:10.459959
article-depth-1,Deceptive Behaviour,75.0%,"Effective Altruism Forum
Login
Sign up
How AI may become deceitful, sycophantic",concerning,analytical,2025-10-10T03:50:10.459959
article-depth-1,Sycophancy,75.0%,"Effective Altruism Forum
Login
Sign up
How AI may become deceitful, sycophantic",concerning,analytical,2025-10-10T03:50:10.459959
